-1.36205	-3.80688	
-1.36142	-3.63632	
-1.36079	-3.87846	
-1.36017	-3.84279	
-1.35954	-4.00273	
-1.35891	-3.75526	
-1.35829	-3.7219	
-1.35766	-3.79462	
-1.35703	-3.88559	
-1.3564	-3.89398	
-1.35578	-3.9232	
-1.35515	-4.01783	
-1.35452	-4.19688	
-1.35389	-4.0433	
-1.35327	-3.91478	
-1.35264	-3.97209	
-1.35201	-3.88973	
-1.35139	-3.88849	
-1.35076	-3.80943	
-1.35013	-4.01882	
-1.3495	-4.05173	
-1.34888	-4.05099	
-1.34825	-4.02552	
-1.34762	-4.00655	
-1.347	-3.99604	
-1.34637	-3.90735	
-1.34574	-3.99308	
-1.34511	-4.03967	
-1.34449	-4.15803	
-1.34386	-4.09953	
-1.34323	-4.29981	
-1.34261	-4.04959	
-1.34198	-4.04254	
-1.34135	-4.1274	
-1.34072	-3.98213	
-1.3401	-4.11235	
-1.33947	-4.13439	
-1.33884	-4.03479	
-1.33822	-3.88404	
-1.33759	-3.88862	
-1.33696	-3.96268	
-1.33633	-3.9205	
-1.33571	-4.11343	
-1.33508	-4.21561	
-1.33445	-4.23974	
-1.33382	-4.1614	
-1.3332	-4.19056	
-1.33257	-3.92038	
-1.33194	-4.11754	
-1.33132	-4.17016	
-1.33069	-4.35855	
-1.33006	-4.19098	
-1.32943	-4.25873	
-1.32881	-4.22644	
-1.32818	-4.20281	
-1.32755	-4.27547	
-1.32693	-4.26325	
-1.3263	-4.07183	
-1.32567	-4.15656	
-1.32504	-4.15576	
-1.32442	-4.14447	
-1.32379	-4.11136	
-1.32316	-4.18716	
-1.32254	-4.33578	
-1.32191	-4.19567	
-1.32128	-4.20989	
-1.32065	-4.17126	
-1.32003	-4.39363	
-1.3194	-4.20368	
-1.31877	-4.16746	
-1.31815	-4.11819	
-1.31752	-4.10125	
-1.31689	-4.14111	
-1.31626	-4.33504	
-1.31564	-4.08381	
-1.31501	-4.13274	
-1.31438	-4.20131	
-1.31376	-4.20311	
-1.31313	-4.24258	
-1.3125	-4.39371	
-1.31187	-4.13796	
-1.31125	-4.36157	
-1.31062	-4.30917	
-1.30999	-4.22536	
-1.30936	-4.37127	
-1.30874	-4.4493	
-1.30811	-4.16296	
-1.30748	-4.07587	
-1.30686	-4.29497	
-1.30623	-4.19258	
-1.3056	-4.33023	
-1.30497	-4.24887	
-1.30435	-4.34149	
-1.30372	-4.37967	
-1.30309	-4.27384	
-1.30247	-4.21989	
-1.30184	-4.20928	
-1.30121	-4.20267	
-1.30058	-4.29304	
-1.29996	-4.33311	
-1.29933	-4.27623	
-1.2987	-4.41207	
-1.29808	-4.53994	
-1.29745	-4.30634	
-1.29682	-4.26236	
-1.29619	-4.28743	
-1.29557	-4.44483	
-1.29494	-4.33002	
