Fecha de reacion,Tipo de orden,Cripto,Fiat,Precio total,Precio,Monto
"	2023/03/23","	Vender","	USDT","	USD",25.7,1.03,24.95145631
"	2023/03/23","	Vender","	USDT","	USD",230,1.03,223.3009709
"	2023/03/22","	Comprar","	USDT","	USD",149.894,1.006,149
"	2023/03/21","	Comprar","	USDT","	USD",89.695,1.006,89.16
"	2023/03/21","	Comprar","	USDT","	EUR",82.412,0.936,88.04669841
"	2023/03/21","	Comprar","	USDT","	USD",333.475,1.006,331.4858343
"	2023/03/21","	Comprar","	USDT","	USD",501.809,1.006,498.816426
"	2023/03/19","	Comprar","	USDT","	USD",238.422,1.006,237
"	2023/03/19","	Comprar","	USDT","	EUR",224.16,0.934,240
"	2023/03/19","	Comprar","	USDT","	EUR",46.7,0.934,50
"	2023/03/18","	Vender","	USDT","	USD",680,1.037,655.7377049
"	2023/03/18","	Vender","	USDT","	EUR",50,0.981,50.96839959
"	2023/03/18","	Vender","	USDT","	EUR",400,0.981,407.7471967
"	2023/03/18","	Vender","	USDT","	EUR",30,0.981,30.58103976
"	2023/03/17","	Vender","	USDT","	USD",100,1.034,96.71179884
"	2023/03/17","	Comprar","	USDT","	USD",55.165,1.003,55
"	2023/03/17","	Vender","	USDT","	USD",104,1.034,100.5802708
"	2023/03/16","	Vender","	USDT","	USD",105,1.034,101.5473888
"	2023/03/16","	Vender","	USDT","	USD",120,1.034,116.0541586
"	2023/03/16","	Vender","	USDT","	USD",120,1.034,116.0541586
"	2023/03/16","	Vender","	USDT","	USD",700,1.034,676.9825919
"	2023/03/16","	Vender","	USDT","	USD",100,1.034,96.71179884
"	2023/03/16","	Comprar","	USDT","	USD",165.495,1.003,165
"	2023/03/15","	Comprar","	USDT","	USD",75.225,1.003,75
"	2023/03/15","	Vender","	USDT","	EUR",244.5,0.978,250
"	2023/03/14","	Comprar","	USDT","	USD",300.9,1.003,300
"	2023/03/13","	Vender","	USDT","	USD",150,1.054,142.3149905
"	2023/03/11","	Comprar","	USDT","	USD",26.319,1.003,26.24
"	2023/03/10","	Vender","	USDT","	USD",464.57,1.04,446.7019231
"	2023/03/07","	Vender","	USDT","	ARS",22350,364.5,61.31687243
"	2023/03/07","	Vender","	USDT","	ARS",10047,364.19,27.58724841
"	2023/03/05","	Vender","	USDT","	USD",300,1.04,288.4615385
